City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,carlos chagas,-17.7031,-40.7664,84.38,52,60,10.02,BR,2021-01-23 17:47:20
69,comodoro rivadavia,-45.8667,-67.5,66.2,45,0,12.66,AR,2021-01-23 17:47:20
70,hamilton,39.1834,-84.5333,30.99,54,1,4.61,US,2021-01-23 17:47:20
71,suruc,36.9761,38.425,39.2,41,0,4.61,TR,2021-01-23 17:47:20
72,alice springs,-23.7,133.8833,87.8,40,90,12.66,AU,2021-01-23 17:42:54
73,codrington,-38.2667,141.9667,62.33,69,52,8.19,AU,2021-01-23 17:47:21
74,nemuro,43.3236,145.575,19.35,91,0,5.41,JP,2021-01-23 17:47:22
75,san quintin,30.4833,-115.95,57.69,70,92,8.48,MX,2021-01-23 17:45:26
76,yenagoa,4.9247,6.2642,82.56,60,62,9.04,NG,2021-01-23 17:47:22
77,egvekinot,66.3167,-179.1667,-16.37,89,9,0.76,RU,2021-01-23 17:47:22
78,bayonne,43.3333,-1.4167,50.0,100,75,9.22,FR,2021-01-23 17:47:22
79,trinidad,-14.8333,-64.9,82.4,78,75,4.61,BO,2021-01-23 17:47:22
80,perth,-31.9333,115.8333,68.0,64,20,8.05,AU,2021-01-23 17:47:23
81,college,64.8569,-147.8028,21.0,85,1,3.49,US,2021-01-23 17:47:23
82,norman wells,65.282,-126.8329,-18.4,76,75,4.61,CA,2021-01-23 17:47:23
83,mailani,28.2833,80.35,56.44,59,0,5.46,IN,2021-01-23 17:47:23
84,padang,-0.9492,100.3543,77.0,83,90,2.3,ID,2021-01-23 17:47:23
85,pangnirtung,66.1451,-65.7125,15.8,73,1,2.3,CA,2021-01-23 17:47:23
86,sebina,-20.8667,27.25,78.8,61,40,10.36,BW,2021-01-23 17:47:23
87,puerto ayora,-0.7393,-90.3518,80.6,78,40,14.97,EC,2021-01-23 17:45:41
88,jamestown,42.097,-79.2353,23.0,68,90,18.41,US,2021-01-23 17:46:23
89,port blair,11.6667,92.75,76.86,66,9,7.54,IN,2021-01-23 17:47:24
90,katsuura,35.1333,140.3,41.0,93,75,25.32,JP,2021-01-23 17:47:24
91,leningradskiy,69.3833,178.4167,-13.23,85,96,4.32,RU,2021-01-23 17:46:36
92,novopokrovka,49.8425,36.5477,39.2,100,90,8.95,UA,2021-01-23 17:47:25
93,sechura,-5.5569,-80.8222,82.04,53,3,11.77,PE,2021-01-23 17:47:25
94,calvinia,-31.4707,19.776,74.35,29,47,10.18,ZA,2021-01-23 17:47:25
95,maldonado,-34.6667,-54.9167,87.8,48,40,10.36,UY,2021-01-23 17:46:26
96,basco,20.4487,121.9702,75.04,76,93,22.48,PH,2021-01-23 17:47:25
97,san cristobal,7.7669,-72.225,87.8,55,20,6.91,VE,2021-01-23 17:47:25
98,mar del plata,-38.0023,-57.5575,89.6,48,0,9.22,AR,2021-01-23 17:47:26
99,tuktoyaktuk,69.4541,-133.0374,-20.2,76,1,13.8,CA,2021-01-23 17:47:26
100,kalmunai,7.4167,81.8167,75.65,81,7,5.53,LK,2021-01-23 17:47:26
101,port hardy,50.6996,-127.4199,37.4,93,75,3.44,CA,2021-01-23 17:47:26
102,kieta,-6.2167,155.6333,77.56,71,75,2.35,PG,2021-01-23 17:47:26
103,kazachinskoye,57.6953,93.2761,-1.39,92,100,3.76,RU,2021-01-23 17:47:27
104,paine,-33.8167,-70.75,80.6,53,0,6.71,CL,2021-01-23 17:47:27
105,saskylakh,71.9167,114.0833,-32.91,81,79,5.86,RU,2021-01-23 17:47:27
106,aklavik,68.2191,-135.0107,-0.4,85,75,8.05,CA,2021-01-23 17:46:15
107,esperance,-33.8667,121.9,64.4,94,90,8.05,AU,2021-01-23 17:46:02
108,linxia,35.6003,103.2064,29.05,71,59,1.45,CN,2021-01-23 17:47:28
109,jizan,17.3333,42.6667,80.6,69,2,5.75,SA,2021-01-23 17:47:28
110,fereydunshahr,32.941,50.121,17.96,64,0,3.4,IR,2021-01-23 17:47:28
111,kaitangata,-46.2817,169.8464,55.0,52,57,4.0,NZ,2021-01-23 17:47:28
112,cape town,-33.9258,18.4232,71.01,82,90,14.97,ZA,2021-01-23 17:42:53
113,hilo,19.7297,-155.09,68.0,83,75,3.44,US,2021-01-23 17:47:11
114,bambous virieux,-20.3428,57.7575,80.6,78,40,3.44,MU,2021-01-23 17:45:38
115,yellowknife,62.456,-114.3525,-31.0,75,20,4.61,CA,2021-01-23 17:46:35
116,clyde river,70.4692,-68.5914,-7.6,84,90,5.75,CA,2021-01-23 17:47:29
117,pisco,-13.7,-76.2167,79.0,73,0,9.22,PE,2021-01-23 17:47:29
118,kapaa,22.0752,-159.319,73.4,88,75,18.41,US,2021-01-23 17:45:24
119,klyuchi,52.2667,79.1667,2.28,94,100,7.05,RU,2021-01-23 17:47:29
120,mosquera,4.7059,-74.2302,60.8,63,75,10.36,CO,2021-01-23 17:47:29
121,ponta delgada,37.7333,-25.6667,64.99,88,40,10.36,PT,2021-01-23 17:47:29
122,ardakan,32.31,54.0175,33.8,29,0,2.3,IR,2021-01-23 17:47:29
123,sibolga,1.7427,98.7792,77.14,78,96,3.42,ID,2021-01-23 17:47:30
124,kodinsk,58.6881,99.1844,-22.97,85,97,2.75,RU,2021-01-23 17:47:30
