City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
61,bengkulu,-3.8004,102.2655,76.21,79,98,5.44,ID,2021-01-23 22:41:31,light rain
62,cherskiy,68.75,161.3,-23.58,86,100,7.18,RU,2021-01-23 22:41:13,overcast clouds
63,olafsvik,64.8945,-23.7142,29.88,95,95,35.19,IS,2021-01-23 22:42:15,light snow
64,noumea,-22.2763,166.4572,81.0,69,90,19.57,NC,2021-01-23 22:42:19,overcast clouds
65,thanatpin,17.2119,96.3033,66.2,88,13,4.61,MM,2021-01-23 22:44:22,few clouds
66,lebu,-37.6167,-73.65,61.21,82,3,19.04,CL,2021-01-23 22:41:13,clear sky
67,kabalo,-6.05,26.9167,70.63,93,100,0.76,CD,2021-01-23 22:44:23,overcast clouds
68,hithadhoo,-0.6,73.0833,81.16,72,93,4.0,MV,2021-01-23 22:41:52,light rain
69,oksbol,55.6268,8.2876,37.99,93,75,8.05,DK,2021-01-23 22:44:23,broken clouds
70,saint-augustin,51.226,-58.6502,30.15,98,100,10.13,CA,2021-01-23 22:42:23,overcast clouds
71,hofn,64.2539,-15.2082,33.66,85,100,26.44,IS,2021-01-23 22:41:43,overcast clouds
72,tautira,-17.7333,-149.15,86.0,66,75,6.91,PF,2021-01-23 22:42:20,broken clouds
73,avarua,-21.2078,-159.775,86.0,62,69,10.36,CK,2021-01-23 22:41:32,broken clouds
74,port alfred,-33.5906,26.891,66.99,91,75,5.99,ZA,2021-01-23 22:41:37,light rain
75,san quintin,30.4833,-115.95,58.69,57,91,10.33,MX,2021-01-23 22:41:22,overcast clouds
76,ekibastuz,51.6667,75.3667,-21.64,87,100,8.7,KZ,2021-01-23 22:42:12,overcast clouds
77,balkanabat,39.5108,54.3671,35.8,72,100,10.63,TM,2021-01-23 22:41:55,overcast clouds
78,upernavik,72.7868,-56.1549,21.15,80,94,6.46,GL,2021-01-23 22:41:35,overcast clouds
79,bluff,-46.6,168.3333,60.01,77,94,8.99,NZ,2021-01-23 22:41:33,overcast clouds
80,souillac,-20.5167,57.5167,77.0,88,40,4.61,MU,2021-01-23 22:41:53,scattered clouds
81,birao,10.2849,22.7882,74.46,19,14,8.23,CF,2021-01-23 22:44:25,few clouds
82,mataura,-46.1927,168.8643,60.01,77,89,8.99,NZ,2021-01-23 22:41:15,overcast clouds
83,mar del plata,-38.0023,-57.5575,78.8,78,0,12.66,AR,2021-01-23 22:41:26,clear sky
84,bethanien,-26.502,17.1583,76.19,45,69,15.57,NA,2021-01-23 22:44:25,broken clouds
85,codrington,-38.2667,141.9667,80.67,40,100,6.87,AU,2021-01-23 22:41:22,overcast clouds
86,toamasina,-18.1667,49.3833,77.0,94,40,2.3,MG,2021-01-23 22:44:25,scattered clouds
87,carnarvon,-24.8667,113.6333,73.4,64,90,14.97,AU,2021-01-23 22:41:30,overcast clouds
88,labuhan,-6.8844,112.2051,78.19,85,100,6.29,ID,2021-01-23 22:42:33,light rain
89,victoria,22.2855,114.1577,66.0,88,6,1.01,HK,2021-01-23 22:41:13,clear sky
90,yellowknife,62.456,-114.3525,-16.6,76,20,3.18,CA,2021-01-23 22:40:30,few clouds
91,new norfolk,-42.7826,147.0587,70.0,43,32,5.01,AU,2021-01-23 22:41:34,scattered clouds
92,okhotsk,59.3833,143.3,-14.06,80,100,10.04,RU,2021-01-23 22:42:27,overcast clouds
93,hovd,48.0056,91.6419,8.01,74,100,5.08,MN,2021-01-23 22:42:49,overcast clouds
94,matamoros,25.5333,-103.25,84.2,17,75,18.9,MX,2021-01-23 22:44:26,broken clouds
95,shimoni,-4.6476,39.3817,77.25,87,100,6.85,KE,2021-01-23 22:44:26,overcast clouds
96,kahului,20.8947,-156.47,78.8,65,40,23.02,US,2021-01-23 22:36:51,scattered clouds
97,chuy,-33.6971,-53.4616,71.87,89,1,8.46,UY,2021-01-23 22:42:02,clear sky
98,ust-kan,50.9276,84.761,-5.21,83,100,6.55,RU,2021-01-23 22:44:27,light snow
