City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Puerto Colombia,CO,2021-01-19 17:05:56,10.9878,-74.9547,86.0,62,20,14.97
68,Biak,ID,2021-01-19 17:05:56,-0.9131,122.8766,77.56,84,99,1.59
69,Atuona,PF,2021-01-19 17:05:56,-9.8,-139.0333,77.18,78,5,13.65
70,Bambous Virieux,MU,2021-01-19 17:05:56,-20.3428,57.7575,81.0,89,75,3.44
71,Kieta,PG,2021-01-19 17:05:57,-6.2167,155.6333,78.6,77,56,2.89
72,Matay,EG,2021-01-19 17:05:57,28.419,30.7792,58.35,52,27,10.47
73,San Cristobal,VE,2021-01-19 17:03:37,7.7669,-72.225,86.0,54,40,8.05
74,Kalmunai,LK,2021-01-19 17:05:57,7.4167,81.8167,76.01,92,52,12.44
75,Lhokseumawe,ID,2021-01-19 17:05:57,5.1801,97.1507,76.55,87,100,4.09
76,Camacha,PT,2021-01-19 17:05:57,33.0833,-16.3333,64.4,63,20,5.75
77,Georgetown,MY,2021-01-19 17:05:57,5.4112,100.3354,80.6,78,40,2.3
78,Kudahuvadhoo,MV,2021-01-19 17:05:58,2.6708,72.8944,82.63,67,78,5.68
79,Hofn,IS,2021-01-19 17:05:58,64.2539,-15.2082,36.72,78,38,23.4
80,Stralsund,DE,2021-01-19 17:05:58,54.3091,13.0818,34.0,94,100,11.74
81,Bolotnoye,RU,2021-01-19 17:05:58,55.6717,84.3981,-17.07,89,97,7.18
82,Ruidoso,US,2021-01-19 17:05:58,33.3317,-105.673,26.6,74,90,13.8
83,Kapaa,US,2021-01-19 17:05:59,22.0752,-159.319,69.8,88,75,24.16
84,Havre-Saint-Pierre,CA,2021-01-19 17:05:59,50.2334,-63.5986,15.8,73,90,12.66
85,Jumla,NP,2021-01-19 17:03:04,29.2747,82.1838,35.26,81,0,2.3
86,Tsabong,BW,2021-01-19 17:05:59,-26.0217,22.401,88.29,35,82,0.63
87,Airai,TL,2021-01-19 17:05:59,-8.9266,125.4092,61.41,100,100,2.3
88,Scarborough,GB,2021-01-19 17:06:00,54.2797,-0.4044,46.99,94,100,3.0
89,Puerto Ayora,EC,2021-01-19 17:06:00,-0.7393,-90.3518,80.6,78,20,13.8
90,Pingliang,CN,2021-01-19 17:06:00,35.5392,106.6861,26.01,92,97,8.01
91,Kalpi,IN,2021-01-19 17:06:00,26.1167,79.7333,59.05,70,0,5.91
92,Coahuayana,MX,2021-01-19 17:06:00,18.7333,-103.6833,78.8,57,40,2.55
93,Mataura,NZ,2021-01-19 17:02:49,-46.1927,168.8643,46.0,86,76,11.99
94,Albany,US,2021-01-19 17:06:01,42.6001,-73.9662,35.01,70,89,6.87
95,Qaanaaq,GL,2021-01-19 17:06:01,77.484,-69.3632,0.95,73,45,8.75
96,Takoradi,GH,2021-01-19 17:01:30,4.8845,-1.7554,81.7,79,25,10.0
97,Abonnema,NG,2021-01-19 17:06:01,4.7084,6.7931,87.8,70,75,5.75
