City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,Geraldton,-28.7667,114.6,73.4,78,75,10.36,AU,2021-01-22 21:48:20
340,Bonthe,7.5264,-12.505,79.03,83,97,7.7,SL,2021-01-22 21:54:15
341,Nemuro,43.3236,145.575,19.76,90,48,17.49,JP,2021-01-22 21:54:15
342,Mega,4.05,38.3,62.04,80,99,17.72,ET,2021-01-22 21:54:15
343,Yarmouth,41.7057,-70.2286,41.0,60,90,8.25,US,2021-01-22 21:54:15
344,Maceio,-9.6658,-35.7353,80.6,69,75,11.5,BR,2021-01-22 21:52:35
345,Santa Cruz,-17.8,-63.1667,91.4,46,40,6.91,BO,2021-01-22 21:51:00
346,Avera,33.194,-82.5271,55.4,87,75,5.75,US,2021-01-22 21:54:16
347,Fredericksburg,38.3032,-77.4605,50.0,37,1,10.36,US,2021-01-22 21:49:22
348,Paita,-5.0892,-81.1144,75.87,69,98,17.58,PE,2021-01-22 21:54:16
349,Jonuta,18.0833,-92.1333,86.0,66,20,11.5,MX,2021-01-22 21:54:16
350,Ahipara,-35.1667,173.1667,66.2,60,78,7.05,NZ,2021-01-22 21:51:53
351,San Fernando,15.0286,120.6898,77.0,94,90,4.61,PH,2021-01-22 21:49:27
352,Lichtenburg,-26.152,26.1597,71.28,37,18,2.84,ZA,2021-01-22 21:54:17
353,Fukue,32.6881,128.8419,58.78,93,100,17.05,JP,2021-01-22 21:54:17
354,Ajaccio,42.0,8.9167,51.8,82,75,32.21,FR,2021-01-22 21:52:21
355,Port Moresby,-9.4431,147.1797,77.0,94,40,5.75,PG,2021-01-22 21:52:30
356,Kaili,-3.4626,120.2147,67.17,92,69,2.89,ID,2021-01-22 21:54:18
357,Tugulym,57.0591,64.6425,-23.8,76,0,6.71,RU,2021-01-22 21:54:18
358,Sangar,63.9242,127.4739,-55.59,62,36,1.72,RU,2021-01-22 21:54:18
359,South Lake Tahoe,38.9332,-119.9844,42.01,59,40,12.66,US,2021-01-22 21:54:18
360,Yulara,-25.2406,130.9889,78.8,14,100,5.75,AU,2021-01-22 21:52:00
361,Morondava,-20.2833,44.2833,83.32,77,100,2.86,MG,2021-01-22 21:52:20
